ROCKID,X_LOC,Y_LOC,ROCK_RECNO,FIRST_BMP
DD1  ,0,0,1,1
DD1  ,1,0,1,2
DD1  ,0,1,1,3
DD1  ,1,1,1,4
DD2  ,0,0,2,5
DD2  ,1,0,2,6
DD2  ,0,1,2,7
DD2  ,1,1,2,8
DD3  ,0,0,3,9
DD3  ,1,0,3,10
DD3  ,0,1,3,11
DD3  ,1,1,3,12
DD4  ,0,0,4,13
DD4  ,1,0,4,14
DD4  ,0,1,4,15
DD4  ,1,1,4,16
DQ1  ,0,0,5,17
DQ1  ,1,0,5,18
DQ1  ,2,0,5,19
DQ1  ,3,0,5,20
DQ1  ,0,1,5,21
DQ1  ,1,1,5,22
DQ1  ,2,1,5,23
DQ1  ,3,1,5,24
DQ1  ,0,2,5,25
DQ1  ,1,2,5,26
DQ1  ,2,2,5,27
DQ1  ,3,2,5,28
DQ2  ,0,0,6,29
DQ2  ,1,0,6,30
DQ2  ,2,0,6,31
DQ2  ,3,0,6,32
DQ2  ,0,1,6,33
DQ2  ,1,1,6,34
DQ2  ,2,1,6,35
DQ2  ,3,1,6,36
DQ2  ,0,2,6,37
DQ2  ,1,2,6,38
DQ2  ,2,2,6,39
DQ2  ,3,2,6,40
DQ3  ,0,0,7,41
DQ3  ,1,0,7,42
DQ3  ,2,0,7,43
DQ3  ,3,0,7,44
DQ3  ,0,1,7,45
DQ3  ,1,1,7,46
DQ3  ,2,1,7,47
DQ3  ,3,1,7,48
DQ3  ,0,2,7,49
DQ3  ,1,2,7,50
DQ3  ,2,2,7,51
DQ3  ,3,2,7,52
DQ4  ,0,0,8,53
DQ4  ,1,0,8,54
DQ4  ,2,0,8,55
DQ4  ,3,0,8,56
DQ4  ,0,1,8,57
DQ4  ,1,1,8,58
DQ4  ,2,1,8,59
DQ4  ,3,1,8,60
DQ4  ,0,2,8,61
DQ4  ,1,2,8,62
DQ4  ,2,2,8,63
DQ4  ,3,2,8,64
DQ5  ,0,0,9,65
DQ5  ,1,0,9,66
DQ5  ,2,0,9,67
DQ5  ,3,0,9,68
DQ5  ,0,1,9,69
DQ5  ,1,1,9,70
DQ5  ,2,1,9,71
DQ5  ,3,1,9,72
DQ5  ,0,2,9,73
DQ5  ,1,2,9,74
DQ5  ,2,2,9,75
DQ5  ,3,2,9,76
DQ6  ,0,0,10,77
DQ6  ,1,0,10,78
DQ6  ,2,0,10,79
DQ6  ,3,0,10,80
DQ6  ,0,1,10,81
DQ6  ,1,1,10,82
DQ6  ,2,1,10,83
DQ6  ,3,1,10,84
DQ6  ,0,2,10,85
DQ6  ,1,2,10,86
DQ6  ,2,2,10,87
DQ6  ,3,2,10,88
RA1  ,0,0,11,89
RA2  ,0,0,12,90
RA3  ,0,0,13,91
RA4  ,0,0,14,92
RA5  ,0,0,15,93
RA6  ,0,0,16,94
RA7  ,0,0,17,95
RA8  ,0,0,18,96
RA9  ,0,0,19,97
RAA  ,0,0,20,98
RAB  ,0,0,21,99
RAC  ,0,0,22,100
RAD  ,0,0,23,101
RD1  ,0,0,24,102
RD1  ,1,0,24,103
RD1  ,0,1,24,104
RD1  ,1,1,24,105
RD2  ,0,0,25,106
RD2  ,1,0,25,107
RD2  ,0,1,25,108
RD2  ,1,1,25,109
RD3  ,0,0,26,110
RD3  ,1,0,26,111
RD3  ,0,1,26,112
RD3  ,1,1,26,113
RQ1  ,0,0,27,114
RQ1  ,1,0,27,115
RQ1  ,2,0,27,116
RQ1  ,3,0,27,117
RQ1  ,0,1,27,118
RQ1  ,1,1,27,119
RQ1  ,2,1,27,120
RQ1  ,3,1,27,121
RQ1  ,0,2,27,122
RQ1  ,1,2,27,123
RQ1  ,2,2,27,124
RQ1  ,3,2,27,125
RQ2  ,0,0,28,126
RQ2  ,1,0,28,127
RQ2  ,2,0,28,128
RQ2  ,3,0,28,129
RQ2  ,0,1,28,130
RQ2  ,1,1,28,131
RQ2  ,2,1,28,132
RQ2  ,3,1,28,133
RQ2  ,0,2,28,134
RQ2  ,1,2,28,135
RQ2  ,2,2,28,136
RQ2  ,3,2,28,137
RQ2  ,0,3,28,138
RQ2  ,1,3,28,139
RQ2  ,2,3,28,140
RQ2  ,3,3,28,141
RQ3  ,0,0,29,142
RQ3  ,1,0,29,143
RQ3  ,2,0,29,144
RQ3  ,3,0,29,145
RQ3  ,0,1,29,146
RQ3  ,1,1,29,147
RQ3  ,2,1,29,148
RQ3  ,3,1,29,149
RQ3  ,0,2,29,150
RQ3  ,1,2,29,151
RQ3  ,2,2,29,152
RQ3  ,3,2,29,153
RQ4  ,0,0,30,154
RQ4  ,1,0,30,155
RQ4  ,2,0,30,156
RQ4  ,3,0,30,157
RQ4  ,0,1,30,158
RQ4  ,1,1,30,159
RQ4  ,2,1,30,160
RQ4  ,3,1,30,161
RQ4  ,0,2,30,162
RQ4  ,1,2,30,163
RQ4  ,2,2,30,164
RQ4  ,3,2,30,165
RQ4  ,0,3,30,166
RQ4  ,1,3,30,167
RQ4  ,2,3,30,168
RQ4  ,3,3,30,169
RT1  ,0,0,31,170
RT1  ,1,0,31,171
RT1  ,0,1,31,172
RT1  ,1,1,31,173
RT1  ,2,1,31,174
RT1  ,0,2,31,175
RT1  ,1,2,31,176
RT1  ,2,2,31,177
RT2  ,0,0,32,178
RT2  ,1,0,32,179
RT2  ,2,0,32,180
RT2  ,0,1,32,181
RT2  ,1,1,32,182
RT2  ,2,1,32,183
RT2  ,0,2,32,184
RT2  ,1,2,32,185
RT2  ,2,2,32,186
RT3  ,0,0,33,187
RT3  ,1,0,33,188
RT3  ,2,0,33,189
RT3  ,0,1,33,190
RT3  ,1,1,33,191
RT3  ,2,1,33,192
RT3  ,0,2,33,193
RT3  ,1,2,33,194
RT3  ,2,2,33,195
RT4  ,0,0,34,196
RT4  ,1,0,34,197
RT4  ,2,0,34,198
RT4  ,0,1,34,199
RT4  ,1,1,34,200
RT4  ,2,1,34,201
RT4  ,0,2,34,202
RT4  ,1,2,34,203
RT4  ,2,2,34,204
RT5  ,0,0,35,205
RT5  ,1,0,35,206
RT5  ,2,0,35,207
RT5  ,0,1,35,208
RT5  ,1,1,35,209
RT5  ,2,1,35,210
RT5  ,0,2,35,211
RT5  ,1,2,35,212
RT5  ,2,2,35,213
RT6  ,0,0,36,214
RT6  ,1,0,36,215
RT6  ,2,0,36,216
RT6  ,0,1,36,217
RT6  ,1,1,36,218
RT6  ,2,1,36,219
RT6  ,0,2,36,220
RT6  ,1,2,36,221
RT6  ,2,2,36,222
RT7  ,0,0,37,223
RT7  ,1,0,37,224
RT7  ,2,0,37,225
RT7  ,0,1,37,226
RT7  ,1,1,37,227
RT7  ,2,1,37,228
RT7  ,0,2,37,229
RT7  ,1,2,37,230
RT7  ,2,2,37,231
